---,X,Y,Z,T
438,-4.228,0.082,270.435,0.1
439,-4.228,0.082,267.732,0.1
440,-4.228,0.082,266.344,0.1
441,-4.228,0.082,265.340,0.1
442,-4.228,0.082,264.204,0.1
443,-4.228,0.082,262.840,0.1
444,-4.228,0.082,261.627,0.1
445,-4.228,0.082,261.421,0.1
446,-4.228,0.082,262.685,0.1
447,-4.228,0.082,264.522,0.1
448,-4.228,0.082,266.001,0.1
449,-4.228,0.082,267.799,0.1
450,-4.228,0.082,269.173,0.1
451,-4.228,0.082,270.183,0.1
452,-4.228,0.082,271.277,0.1
453,-4.228,0.082,271.198,0.1
454,-4.228,0.082,270.319,0.1
455,-4.228,0.081,266.329,0.1
456,-4.227,0.079,259.366,0.1
457,-4.230,0.078,258.679,0.1
458,-4.248,0.074,259.110,0.1
459,-4.250,0.074,259.218,0.1
460,-4.250,0.074,259.678,0.1
461,-4.250,0.074,260.290,0.1
462,-4.262,0.072,261.119,0.1
463,-4.353,0.058,260.916,0.1
464,-4.539,0.029,261.569,0.1
465,-4.714,0.004,262.037,0.1
466,-4.908,-0.023,262.641,0.1
467,-5.090,-0.044,264.113,0.1
468,-5.118,-0.047,266.289,0.1
469,-5.118,-0.047,268.854,0.1
470,-5.118,-0.047,269.566,0.1
471,-5.118,-0.047,269.114,0.1
472,-5.118,-0.047,268.113,0.1
473,-5.118,-0.047,266.618,0.1
474,-5.118,-0.047,265.419,0.1
475,-5.118,-0.047,264.825,0.1
476,-5.118,-0.047,264.860,0.1
477,-5.118,-0.047,264.847,0.1
478,-5.118,-0.047,264.533,0.1
479,-5.118,-0.047,264.385,0.1
480,-5.182,-0.053,264.594,0.1
481,-5.387,-0.072,264.733,0.1
482,-5.609,-0.091,265.142,0.1
483,-5.809,-0.108,265.486,0.1
484,-6.031,-0.124,266.085,0.1
485,-6.231,-0.137,266.545,0.1
486,-6.451,-0.148,267.455,0.1
487,-6.652,-0.156,268.193,0.1
488,-6.852,-0.162,268.254,0.1
489,-7.053,-0.164,268.819,0.1
490,-7.273,-0.160,269.204,0.1
491,-7.475,-0.154,269.310,0.1
492,-7.697,-0.147,269.380,0.1
